City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Cayenne,GF,75.24,scattered clouds,4.9333,-52.3333,Central Hôtel
14,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
16,Robertsport,LR,79.25,scattered clouds,6.7533,-11.3686,Nana's Lodge
23,Mercedes,AR,88.03,few clouds,-34.6515,-59.4307,Gran Hotel Mercedes
29,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Hotel California
40,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Tropic Hotel
41,Viedma,AR,84.85,scattered clouds,-40.8135,-62.9967,Níjar
45,Hithadhoo,MV,80.13,light rain,-0.6,73.0833,Pebbles Inn
46,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
50,Itarema,BR,76.95,broken clouds,-2.9248,-39.9167,Pousada Oásis
62,Bubaque,GW,78.28,few clouds,11.2833,-15.8333,Chez Julio
70,Mahebourg,MU,78.26,heavy intensity rain,-20.4081,57.7,Grand Bel Air
84,Quatre Cocos,MU,78.1,very heavy rain,-20.2078,57.7625,Horisun
94,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
95,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Terra Sur
101,Santa Cruz Cabralia,BR,79.03,few clouds,-16.2781,-39.0247,Campo Bahia Resort
107,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le Baril
126,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
140,Touros,BR,79.45,broken clouds,-5.1989,-35.4608,Pousada Atlântico
143,Kapoeta,SS,82.81,broken clouds,4.7717,33.5903,Kuleu
146,Maragogi,BR,78.04,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
168,Piacabucu,BR,77.31,overcast clouds,-10.4056,-36.4344,O Leão
171,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,Hotel Forum
172,Tabou,CI,79.88,scattered clouds,4.423,-7.3528,hôtel le rochet
174,Souillac,MU,77.38,heavy intensity rain,-20.5167,57.5167,Hotel SkylineInn
