City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,70.09,78,0,9.22,clear sky
1,Boffa,GN,10.1667,-14.0333,72.61,84,78,2.77,broken clouds
2,Gamba,GA,-2.65,10.0,74.34,94,100,6.82,moderate rain
3,Ilulissat,GL,69.2167,-51.1,-35.64,77,1,6.58,clear sky
4,Hermanus,ZA,-34.4187,19.2345,62.8,86,3,5.91,clear sky
5,Westport,US,41.1415,-73.3579,40.89,90,100,10.0,overcast clouds
6,Turukhansk,RU,65.8167,87.9833,-23.53,79,9,12.19,clear sky
7,Ribeira Grande,PT,38.5167,-28.7,59.77,73,75,15.01,broken clouds
8,Laguna,US,38.421,-121.4238,54.14,69,40,13.8,scattered clouds
9,East London,ZA,-33.0153,27.9116,72.9,89,93,10.71,overcast clouds
10,Cayenne,GF,4.9333,-52.3333,75.24,88,40,3.44,scattered clouds
11,Punta Arenas,CL,-53.15,-70.9167,62.71,77,75,8.05,light rain
12,Maunabo,PR,18.0072,-65.8993,80.42,85,6,8.63,clear sky
13,Bonthe,SL,7.5264,-12.505,76.77,82,65,8.95,broken clouds
14,Georgetown,MY,5.4112,100.3354,80.53,73,20,5.01,few clouds
15,Ushuaia,AR,-54.8,-68.3,55.06,71,100,4.61,light rain
16,Robertsport,LR,6.7533,-11.3686,79.25,85,35,10.76,scattered clouds
17,Busselton,AU,-33.65,115.3333,68.2,56,42,13.11,scattered clouds
18,Salalah,OM,17.0151,54.0924,68.67,27,59,17.13,broken clouds
19,Buraydah,SA,26.326,43.975,50.45,53,0,6.15,clear sky
20,Jarwal,IN,27.1667,81.55,48.74,62,13,1.1,few clouds
21,Sabha,LY,27.0377,14.4283,51.03,35,0,11.54,clear sky
22,Formosa,AR,-26.1775,-58.1781,96.78,38,20,8.05,few clouds
23,Mercedes,AR,-34.6515,-59.4307,88.03,41,21,15.48,few clouds
24,Longyearbyen,SJ,78.2186,15.6401,31.84,64,40,20.71,scattered clouds
25,Ponta Delgada,PT,37.7333,-25.6667,54.32,71,75,5.75,broken clouds
26,Volchansk,RU,59.9378,60.081,10.89,78,100,7.72,overcast clouds
27,Desbiens,CA,48.4178,-71.9495,17.56,95,34,2.82,scattered clouds
28,Bredasdorp,ZA,-34.5322,20.0403,66.33,84,3,2.46,clear sky
29,Oranjestad,AW,12.524,-70.027,80.55,81,20,17.27,few clouds
30,Dezful,IR,32.3811,48.4058,52.97,56,0,2.26,clear sky
31,Aksay,RU,47.26,39.87,39.25,67,5,8.99,clear sky
32,Harper,LR,4.375,-7.7169,79.75,82,32,7.27,scattered clouds
33,Narsaq,GL,60.9167,-46.05,23.94,95,100,0.09,overcast clouds
34,Clyde River,CA,70.4692,-68.5914,-19.97,69,20,6.91,few clouds
35,Acarau,BR,-2.8856,-40.12,76.82,85,47,8.03,scattered clouds
36,Lebu,CL,-37.6167,-73.65,61.47,79,27,4.43,scattered clouds
37,Jamestown,US,42.097,-79.2353,44.71,58,95,4.0,overcast clouds
38,Victoria,HK,22.2855,114.1577,62.33,65,75,11.01,broken clouds
39,Jaciara,BR,-15.9653,-54.9683,73.6,78,69,1.9,broken clouds
40,Saint-Pierre,RE,-21.3393,55.4781,76.68,88,0,3.44,clear sky
41,Viedma,AR,-40.8135,-62.9967,84.85,38,44,17.0,scattered clouds
42,Canapi,BR,-9.1174,-37.6012,76.66,69,98,8.3,overcast clouds
43,Iqaluit,CA,63.7506,-68.5145,-9.31,76,100,0.0,light snow
44,Tessalit,ML,20.1986,1.0114,68.68,15,32,6.31,scattered clouds
45,Hithadhoo,MV,-0.6,73.0833,80.13,79,97,12.5,light rain
46,Bathsheba,BB,13.2167,-59.5167,79.41,65,20,19.57,few clouds
47,Totness,SR,5.8833,-56.3167,75.61,85,41,9.51,scattered clouds
48,Tiznit,MA,29.5833,-9.5,55.63,41,0,3.67,clear sky
49,Kumher,IN,27.3167,77.3667,46.08,52,60,4.29,broken clouds
50,Itarema,BR,-2.9248,-39.9167,76.95,84,71,7.94,broken clouds
51,Pangnirtung,CA,66.1451,-65.7125,-22.0,76,20,0.0,few clouds
52,Bako,ET,5.7833,36.5667,69.8,36,88,3.89,overcast clouds
53,Ostrovnoy,RU,68.0531,39.5131,34.75,90,87,22.46,overcast clouds
54,Mpika,ZM,-11.8343,31.4529,61.05,98,100,2.68,overcast clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,40,17.27,scattered clouds
56,Demyanovo,RU,60.3511,47.0842,26.82,93,100,11.43,overcast clouds
57,Atar,MR,20.5169,-13.0499,65.28,40,0,8.23,clear sky
58,Port Alfred,ZA,-33.5906,26.891,70.18,96,47,1.01,light rain
59,Temiscaming,CA,46.7212,-79.0971,22.55,73,100,5.75,snow
60,Ponta Do Sol,PT,32.6667,-17.1,62.71,68,43,9.22,scattered clouds
61,Venado Tuerto,AR,-33.7456,-61.9688,91.76,24,11,7.78,few clouds
62,Bubaque,GW,11.2833,-15.8333,78.28,73,20,8.43,few clouds
63,Kochubey,RU,44.3861,46.5825,34.25,83,0,13.71,clear sky
64,Kapiri Mposhi,ZM,-13.9652,28.6809,63.73,98,100,4.88,light rain
65,Shache,CN,38.4167,77.2406,0.81,97,95,2.53,overcast clouds
66,Sao Gotardo,BR,-19.3111,-46.0489,70.63,81,79,2.15,broken clouds
67,Tabat,ID,-2.635,115.2274,73.83,97,95,0.58,overcast clouds
68,Klaksvik,FO,62.2266,-6.589,31.12,66,100,16.02,overcast clouds
69,Bani Walid,LY,31.7566,13.9942,48.11,42,0,13.09,clear sky
70,Mahebourg,MU,-20.4081,57.7,78.26,94,75,6.91,heavy intensity rain
71,Kurchum,KZ,48.5722,83.6542,-19.17,98,48,1.23,scattered clouds
72,Arandis,NA,-22.4167,14.9667,68.59,68,49,4.9,scattered clouds
73,Qaanaaq,GL,77.484,-69.3632,-31.11,53,0,7.65,clear sky
74,Preili,LV,56.2944,26.7246,32.16,95,100,9.6,light snow
75,Pauini,BR,-7.7136,-66.9764,72.5,97,96,5.06,light rain
76,Kumo,NG,10.0447,11.2122,73.72,24,72,5.3,broken clouds
77,Chuy,UY,-33.6971,-53.4616,71.83,76,76,11.79,broken clouds
78,Hambantota,LK,6.1241,81.1185,71.49,70,20,15.37,few clouds
79,Upernavik,GL,72.7868,-56.1549,-11.29,97,100,8.21,light snow
80,Torbay,CA,47.6666,-52.7314,37.58,93,75,14.97,broken clouds
81,Wronki,PL,52.7105,16.3804,29.28,94,53,5.01,broken clouds
82,Sao Filipe,CV,14.8961,-24.4956,74.21,70,23,14.05,few clouds
83,La Rioja,ES,42.25,-2.5,37.18,98,100,19.48,overcast clouds
