City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Dikson,73.5069,80.5464,-34.33,87,5,6.4,RU,2023-01-16 20:11:44
1,Cape Town,-33.9258,18.4232,77.34,67,6,13.0,ZA,2023-01-16 20:11:22
2,Mar Del Plata,-38.0023,-57.5575,76.82,81,1,5.99,AR,2023-01-16 20:11:44
3,Narsaq,60.9167,-46.05,5.22,70,4,10.38,GL,2023-01-16 20:11:45
4,Punta Arenas,-53.15,-70.9167,57.22,30,0,35.68,CL,2023-01-16 20:11:45
5,Keti Bandar,24.1447,67.4497,63.43,29,5,8.32,PK,2023-01-16 20:11:46
6,Koratagere,13.5228,77.2331,62.47,55,15,5.32,IN,2023-01-16 20:11:46
7,Vardo,70.3705,31.1107,35.58,80,75,16.11,NO,2023-01-16 20:11:47
8,Hasaki,35.7333,140.8333,34.21,55,67,13.2,JP,2023-01-16 20:11:47
9,Atuona,-9.8,-139.0333,77.38,77,100,14.38,PF,2023-01-16 20:11:47
10,Ushuaia,-54.8,-68.3,53.22,44,88,10.16,AR,2023-01-16 20:11:48
11,Vaini,-21.2,-175.2,80.58,76,32,8.08,TO,2023-01-16 20:11:48
12,Polewali,-3.4324,119.3435,75.88,89,100,3.44,ID,2023-01-16 20:11:49
13,Emerald,-23.5333,148.1667,68.34,92,100,11.79,AU,2023-01-16 20:11:49
14,Rawlins,41.7911,-107.2387,31.35,69,0,18.41,US,2023-01-16 20:11:49
15,Busselton,-33.65,115.3333,51.35,71,10,8.43,AU,2023-01-16 20:11:50
16,Esperance,-33.8667,121.9,60.82,58,30,14.43,AU,2023-01-16 20:11:50
17,Jalu,29.0331,21.5482,56.01,59,0,2.93,LY,2023-01-16 20:11:51
18,Yellowknife,62.456,-114.3525,-2.45,98,95,5.99,CA,2023-01-16 20:09:03
19,Severnyy,50.677,36.5532,28.44,93,75,8.95,RU,2023-01-16 20:11:51
20,Dessalines,19.2833,-72.5,83.05,32,0,6.62,HT,2023-01-16 20:11:51
21,Shitanjing,39.2342,106.3439,10.04,68,3,24.9,CN,2023-01-16 20:11:52
22,Luba,3.4568,8.5547,80.87,83,44,8.95,GQ,2023-01-16 20:11:52
23,Pitimbu,-7.4706,-34.8086,82.99,71,100,9.26,BR,2023-01-16 20:11:53
24,Atar,20.5169,-13.0499,74.23,13,100,11.1,MR,2023-01-16 20:08:54
25,Taltal,-25.4,-70.4833,70.25,68,17,6.46,CL,2023-01-16 20:11:53
26,Saskylakh,71.9167,114.0833,-32.35,100,70,6.53,RU,2023-01-16 20:11:54
27,Vila Velha,-20.3297,-40.2925,82.35,78,40,16.11,BR,2023-01-16 20:08:09
28,Hermanus,-34.4187,19.2345,73.8,82,26,18.48,ZA,2023-01-16 20:11:54
29,Lebu,-37.6167,-73.65,61.52,69,7,14.47,CL,2023-01-16 20:11:55
30,Soloneshnoye,51.6544,84.3197,18.05,79,100,7.61,RU,2023-01-16 20:11:55
31,New Norfolk,-42.7826,147.0587,58.5,92,18,1.9,AU,2023-01-16 20:11:55
32,Bredasdorp,-34.5322,20.0403,70.57,87,99,17.45,ZA,2023-01-16 20:07:38
33,Salinopolis,-0.6136,-47.3561,79.47,78,92,9.55,BR,2023-01-16 20:11:56
34,Saint-Philippe,-21.3585,55.7679,78.39,81,19,11.05,RE,2023-01-16 20:11:56
35,Bay-Khaak,51.1667,94.5,-6.75,95,100,2.28,RU,2023-01-16 20:11:57
36,Lakes Entrance,-37.8811,147.981,66.16,92,2,3.2,AU,2023-01-16 20:11:57
37,Bengkulu,-3.8004,102.2655,74.98,91,100,4.29,ID,2023-01-16 20:11:57
38,Tagusao,9.1924,117.8141,76.62,88,96,4.41,PH,2023-01-16 20:11:58
39,Tavares,28.8042,-81.7256,70.16,33,0,3.44,US,2023-01-16 20:11:58
40,Kapaa,22.0752,-159.319,79.12,78,0,5.75,US,2023-01-16 20:07:54
41,Bambous Virieux,-20.3428,57.7575,78.22,74,95,16.2,MU,2023-01-16 20:11:59
